content,label
"He, a very ordinary young man, suddenly becomes afflicted with megalomania, and his character is completely changed ",0
"She, overhearing a conversation which brings home to her a bitter truth, alters her mental attitude and undergoes a beneficial character change ",1
"He, discontented, in a spirit of revolt seeks to achieve contentment ",0
He hurls himself recklessly into perilous situations in the hope of losing his life ,0
"He is hired to commit a murder but because of his sympathy, revolts against the scheme",0
He is disloyal to his ward ,0
"He, unable to realize a cherished ambition because of family obligations, comes as near realizing the ambition as he can",1
"He is a doctor, who follows his honest profession by day, and makes it a cover for his activities as a burglar by night",0
He is found guilty of a political conspiracy,0
"He gradually, because of loneliness, becomes socially inept",0
"He, poor and humble, at great self-sacrifice helps Nathaniel, an old man poorer than he himself ",1
"He, believing that a counterfeit gem, Doom Orb, is genuine, plans to steal it ",0
"He, a prospector, makes a rich strike. Of right he should share his discovery with his partner, Nathaniel, but decides to exploit his discovery for himself alone ",0
"He seeks to prevent his friend, Nathaniel, from committing a reckless act that would have fateful consequences ",1
"He, engaged in an important enterprise, suddenly finds himself in quarantine because he did not follow health codes",0
His friend rescues him from a heartbreaking situation by killing himself ,0
"He kills himself, but contrives to make his death appear accidental ",0
"He murders a stranger, Noah, in a lonely wood where the soil is of a peculiar color, unlike any other soil for miles around. ",0
He decides to use secret information for blackmailing purposes ,0
He is so content with what he has that any impulse toward enterprise is throttled,0
He inherits a mental or physical taint and blames others for it,0
"She, who lacks every qualification of a successful writer, nevertheless believes herself highly gifted as a novelist",0
"He, obliging his friend, Nathaniel, by taking charge of some secret documents, is arrested, and accused on the strength of the documents, of having a part in a criminal conspiracy ",0
His character is transformed while in the service but regresses when he returns home,0
He commits a transgression and escapes unsuspected ,0
"He, abducted by Thomas and held for ransom, is a meddlesome, disagreeable person and his family and friends are glad to be rid of him and will not pay the ransom",0
"She, thinking herself a criminal, seeks to evade the law by various makeshifts ",0
He forgives his daughter,1
She picks him out of the gutter and makes a man of him ,1
He is a skeptic in all matters that have to do with the supernatural ,1
She escapes the catastrophe by a stratagem ,1
He unwittingly takes a suit case belonging to a stranger but returns it empty,0
"He knows something others do not know, something that proves the greatest obstacle to his enterprising and capable nature",0
"He, a playwright, having no new ideas for a play, goes forth in quest of them",1
She builds a monument to her father,1
"He, in a drunken brawl, quarrels with Nathaniel",0
He has committed a crime but has never fallen under suspicion ,0
He is too old to talk to that person,0
He is a professional burglar who throws caution to the winds in one of his burglaries ,0
"He, a man of ability who has fallen upon evil ways and is almost bankrupt",0
He undergoes a tragic experience which results in a beneficial character change,1
"He is haunted all his days by an act which he committed in an effort to help a friend, Nathaniel ",0
He is a worthless ne'er-do-well,0
"He, seeking to help a stranger, meets with an unpleasant experience ",0
His character is transformed for the better,1
"He, a transgressor, covers up his criminal acts by a painstaking simulation of honor and excellence ",0
"He, a crook, seeks unlawful gain by selling Ivan a broken tool",0
He is evilly dealt with by Ivan and brought to the brink of ruin ,0
"He, a crook, in order to carry out a crafty enterprise, disguises himself as a person of wealth and social standing",0
"He, thinking he has a robber to deal with, by mistake shoots his friend, Nathaniel",0
"He undertakes an enterprise when he is prosperous; and then, suffering loss he has not the heart to go on with the enterprise",0
He is old and ugly but beautiful in crafty deception,0
His will is waging a psychic battle against fear ,0
He overhears a chance conversation and secures information of the utmost value to the enemy,0
He has invented a life preserver for the use of shipwrecked persons ,1
He repays his debts late,0
"He, a highwayman, is robbing the mails ",0
She is compelled to live with a sister,1
He commits an act of reprisal against Ivan with more serious results than he had intended,0
"Compelled by her father, she engages in a distasteful enterprise, evades the enterprise by pretending to have suddenly been stricken deaf and dumb",0
He fails to repay his debt but helps in other ways,0
"He, a detective, is falsely suspected of being a professional crook by those unaware of his secret motives ",1
He is told by his doctor that he has only three months to live and atones for his sins,1
"He, although simple minded and genuine, is awkward in speech and forward and uncouth in manner ",0
He finds that the duties of his position are so numerous it is physically impossible for him to carry them out,1
"He, evilly dealt with by Ivan, puts a curse on Ivan and all of his name ",0
He has a character weakness that prevents him from achieving success in enterprise ,0
"His youthful escapades, committed thoughtlessly and not with malice, constitute the wrong which has given him a bad name among the people of his native place",0
"He and his friend, Nathaniel, are of high and honored station",1
He suffers misfortune because he departs from the strict line of duty in order to carry out a cherished ambition of his own ,0
She is caught in the undertow and is being swept out to sea for not paying attention to the shore,0
"He pretends to disappear and to be in great danger, and so lures Noah and Ivan into real danger in a quest for him ",0
He has turned his back upon happiness because of an obligation he fancies himself under to his finances,0
