content,label
 Rather than fight He orders He to submit,1
 Phindar is ruled by an evil Syndicat that has the technology to erase the minds of any rebel or enemy they get their hands on,0
 Eelek blocks all of Selris' ideas and is preparing for war,0
 Knight One promptly murders him with a PPG,0
 He then explains he decided to compensate Tu'Pari by transferring a substantial amount of money to his personal account,1
 As Damask he trains Hill's son San to become the new head of the InterGalactic Banking Clan,1
 Intercepted transmissions logged on the base also confirm Mollari's assertions that the attack on Ragesh 3 was entirely unprovoked,0
 Knight Two calls He a traitor and He angrily attacks him briefly disrupting the linkup,0
 They were questioned by another person in the room,1
 When they hear the rumor confirmed they blame themselves for his death,1
 They were blindfolded and bound then they were transported to another building,1
 He coldly replies he will not tolerate any disruptions on his station,0
 Ironheart explains that the experiments he volunteered for were part of a joint Earthforce-Psi Corps operation to develop stronger telepaths,1
 Lorana and Thrass despite their differences see the choice before them and make it together,1
 She is meeting with their representatives to discuss the deal in one hour,1
 The Soul Hunter kidnaps Delenn taking her someplace hidden so that he can murder her and steal her soul,0
 While He was still lost in the pain the ship felt He saw huge engines flare to life on Zonama Sekot; pushing the planet out of its orbit,1
 The dream of peace between the five federations is constantly in danger,1
 He also points out that the Narns were one of the few races to supply weapons to Earth during the Earth-Minbari War,1
 Unable to move freely in the narrow alley they move up to an adjoining roof,1
 As the two Padawans move on however the Guide hits first Kenobi then Tachi with an electro-jabber sending them to the ground,0
 When the worker persists Drake kills him.,0
 A student attacks the device which vaporises him and then retracts into the Kroton machine,0
 Jamie aids Beta in the construction of the acid -- although neither really know what they are doing,1
 Tahl will go to the peace meeting while they wait with the twins for her return,1
 He warns him not to go alone when he is contacted he must ask if he can take the Jedi as escorts,1
 He found the two friends with the holocron and told them that he would tell the Council about the Sith holocron,1
 He has left He and the Jedi to help the Young end the wars on Melida/Daan,1
 When they go to look they find Irini in the grip of a security guard,1
 As the problems escalate He is assigned the task of nabbing the culprit,1
 Meanwhile Ventress kills Trillot by slashing one of her lightsabers at her because of Trillot's failure that was the destruction of the Jedi Killers by Jangotat's machinations,0
 He warns that they need to be quiet,1
 Then they will return to the Jedi Temple unless the government officially asks them to stay,1
 He tells the Highlander to be patient,1
 Gallia requires immediate medical treatment so Jinn instructs Ardox and Zak to take Gallia back to their cruiser and travel to Rhinnal where she can receive treatment,1
 As things go downhill quickly on Melida/Daan He begins to realize that leaving the Jedi was a mistake and that they are the only ones who can help save the planet from more war,0
 The Absolutes have found out she is a Jedi,1
 He says that the machinery is a solar powered magnet that creates a force field that used to hold the beacon together,1
 They immediately ask where Roan is they had heard rumors of his death on the street after their kidnappers had let them go,1
 He aims his gun at her as the memories of her are blurring with reality,0
 Caven destroys the control panel with his blaster.,0
 They acknowledge that their lives will be full of separations from each other but they still decide to be together.,1
 One of the workers Fitch informed them that in the next couple of hours the workers would add a few things to the ship to bring it up to Republic standards and than they would work on learning the ship,1
 He is placed on a temporary probation by the Jedi Council,0
 Tahl suggest letting them go as their deaths surely would send an investigation by the Jedi and the Senate and they also would lose any hope of gaining backing from the Senate,1
 But Roan is not there his assistant informs them he has gone to meet with the kidnappers,1
 Palpatine later has Maul sent to Mustafar where he could be nurtured at his young age in the dark side of the Force,0
 Du'Rog explains he has hired an assassin who will kill He within 48 hours of receiving the message,0
 Bruck Chun also kidnaps Bant,0
 He takes He to dinner at Fresh Air in the Gardens,1
 The three steal a whole basket of credits but a security guard stops them,0
 Takashima uses the station stabilizers to reestablish the station's axis,1
 V-Nen and O-Melie present their daughter O-Lana to Jinn who studies her for a few minutes,1
 The Ice Warrior kills Phipps and starts to approach Zoe,0
 Jamie watches on the screen and implores He and Zoe to get back in the TARDIS,1
 When he is discovered to be a cheat he is pursued and attacked,0
 Zoe spots an opening in the rock wall and goes through it,1
 Gallia orders both Padawans to opposite corners of the room to start over and Kenobi gives up trying to work together with Tachi,1
