 ;;678055
e;;352270
t;;270567
a;;250842
s;;249604
n;;212573
i;;199976
o;;195332
r;;177942
h;;174349
d;;120058
l;;103013
g;;64950
p;;63332
c;;61234
m;;60070
<;;60000
>;;60000
u;;57268
f;;53675
w;;52749
y;;47027
b;;39787
k;;36763
v;;23577
';;12867
J;;12632
M;;5093
j;;4804
x;;4478
S;;4415
B;;4395
T;;4199
D;;3540
A;;3477
C;;3421
L;;2562
R;;2562
K;;2553
P;;2036
G;;1700
z;;1578
H;;1558
q;;1386
E;;1318
F;;1264
N;;1193
-;;1057
W;;873
V;;683
I;;640
O;;469
0;;459
1;;294
Z;;236
2;;158
’;;147
5;;137
Y;;122
U;;106
9;;70
4;;57
3;;55
6;;44
8;;42
X;;38
7;;36
Q;;35
*;;17
/;;15
[;;11
];;11
